Absolute Magnitude,Est Dia in KM(min),Close Approach Date,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Perihelion Distance,Perihelion Arg,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
21.6,0.1272198785,788918400000,6.1158343887,62753692.0,5,0.0252819,0.4255490832802685,1.407011302712976,6.025981287138329,314.3739134134077,0.808258932678493,57.25746987539545,2458161.6417204863,264.8375332988031,0.5905513880204395,1
21.3,0.1460679643,788918400000,18.1139850263,57298148.0,3,0.186935,0.3516743045868617,1.10777595443772,28.41299637199041,136.7172416568082,0.7181996160227876,313.0919748302692,2457794.969431285,173.7411119891742,0.8453297875598617,0
20.3,0.2315021222,789523200000,7.5907111617,7622911.5,0,0.0430579,0.3482482617619956,1.458823814474811,4.237961002947924,259.4759789450263,0.950790956866954,248.4150381128607,2458120.4675489054,292.8936537794408,0.5593708201314143,1
27.4,0.0088014652,790128000000,11.1738744976,42683616.0,6,0.0055118,0.2165783078378784,1.255902889613577,7.905894348125122,57.17326613388248,0.9839015669723666,18.70770087172089,2457902.3374338527,68.74100661777578,0.7002771964497434,0
21.6,0.1272198785,790128000000,9.8408310539,61010824.0,1,0.034798,0.2104479432284866,1.225614736618327,16.79338165999116,84.62930679460825,0.9676866361064762,158.2635960713293,2457814.455148689,135.1421326756292,0.7263954456329549,1
19.6,0.3195618867,790128000000,10.8088439585,58759768.0,1,0.272213,0.5634410734978924,1.323532179970776,17.92775064011703,178.9719507770034,0.5777997876790363,198.1459691510273,2458009.402634515,354.2373683433312,0.6472950953048102,0
19.6,0.3195618867,790128000000,10.8088415879,58759532.0,1,0.272213,0.5634411100746358,1.323532161963902,17.92774837902645,178.9719525667907,0.5777997314074783,198.1459598526758,2458009.4025913575,354.237396160877,0.6472951085146458,0
19.2,0.3841978911,790732800000,24.4218839949,19324928.0,0,0.0987582,0.4497627959965093,1.237474536298783,34.69512745281478,112.5629844130883,0.6809045288785588,288.3746511156045,2458242.439098669,186.7769322776995,0.7159779823718642,0
17.8,0.7320739893,790732800000,17.373783837,53598364.0,0,0.109354,0.2381790104348694,1.145550849266033,22.21521029077527,80.21113209162255,0.8727046815850249,353.4223941040977,2458221.636404156,182.2364315309588,0.803863882779104,0
21.5,0.1332155667,790732800000,12.8996097219,22709816.0,0,0.0169065,0.551388806833007,0.8761253667964827,2.059576978010798,2.613682368506762,0.3930396461624395,253.7659371965322,2457900.7702821824,119.8613823033982,1.201862242530755,1
22.4,0.0880146521,790732800000,22.4213663146,30075154.0,6,0.000317965,0.4758194774081156,0.8138767249034949,23.18568668072357,117.1112240445536,0.4266183269852852,220.9403707579688,2457996.3603927726,5.556806412851552,1.342351123786957,0
25.8,0.0183888672,790732800000,17.2746114639,64479012.0,4,0.00186378,0.2048406780030454,1.240789317594743,13.7442332087249,161.933518574421,0.9866251925196996,13.92021256207252,2457935.0333707174,46.68495944704712,0.7131107857372974,0
25.0,0.02658,790732800000,12.1185099534,53825524.0,6,0.0187898,0.326860711970322,0.930233744449396,8.333753551706272,20.49127086505545,0.626176880439848,128.46312989278,2457939.7129855743,66.77697673554127,1.098540163006986,0
19.1,0.4023045798,792201600000,10.8299262895,64425220.0,0,0.214004,0.1493579627014401,1.32292378805863,21.26523155355708,122.4368331936925,1.125334586264921,297.7298536948962,2457976.984646116,15.23187454710148,0.6477416679390378,0
18.8,0.4619074603,792201600000,39.6053279147,45023444.0,0,0.102643,0.8610933305709985,1.982738584288127,10.02263604097735,163.2099234123562,0.2754156130918373,199.3714586963143,2457894.2264480977,37.51725738061909,0.3530253455272793,0
25.2,0.0242412481,792201600000,25.2112885836,74196656.0,6,0.0119773,0.4416943551013883,0.8375570081279065,19.76759210755226,243.614950945384,0.4676128055622026,41.6483224835708,2457925.3675273424,96.60735473164922,1.285826904326849,0
20.0,0.2658,792806400000,3.0890039286,35727636.0,0,0.240288,0.3775493600967308,1.958154259500409,5.660561156228656,112.1644170272148,1.218854371855342,34.30691815167334,2457771.5533833597,82.35082442826075,0.3596944372301356,0
21.0,0.1677084622,792806400000,20.0192419349,71520800.0,1,0.0984179,0.4527922930841961,0.907864592986423,8.278695740027688,114.3798292883882,0.4967905021181501,7.392326563703367,2457968.7570858626,36.16756328615697,1.139390136937988,0
22.3,0.0921626549,792806400000,8.5263208443,69003400.0,3,0.0259126,0.2597323195329087,1.16651991571092,5.035044225594919,28.8520216092119,0.8635369922219897,271.6146744029957,2457770.912607256,179.6031185576674,0.7822865028032653,0
22.7,0.0766575574,792806400000,7.9195240447,16047525.0,4,0.0525422,0.1514158524079464,0.9137303163513598,5.860414922890069,177.8573023304907,0.7753770616300362,90.64125634459155,2458138.755972242,203.9869515937405,1.12843623227369,0
26.1,0.0160160338,792806400000,4.6554785934,38220508.0,5,0.018587,0.1714328826365063,0.9391389588534732,11.94779476707688,229.0663217594457,0.7781396599409749,227.5499749797063,2458042.506078219,314.5094251287649,1.082952201198919,0
20.6,0.2016299194,792806400000,2.1643728488,63257484.0,2,0.183818,0.4074703521368719,1.978471308901617,4.06169556322702,142.2597510835389,1.172302907970777,38.66044217724877,2457957.8350370787,15.11056876015708,0.3541680977909752,0
21.7,0.1214940408,793411200000,28.4189542612,7261686.5,1,0.0128745,0.8684189074961081,0.9067337425159876,4.035074270183858,342.7842082321538,0.1193090164503963,322.3904957839119,2453597.57543235,303.9792986106828,1.141522319959188,1
23.9,0.04411182,793411200000,10.551519772,2952796.75,3,0.0109543,0.3988200079942557,1.35791927755497,3.854342068985657,341.218636234598,0.8163539004249429,237.1733163416558,2457913.2981201303,54.31490079465933,0.6228638749080249,0
23.9,0.04411182,793411200000,17.5649076525,64932800.0,1,0.0453154,0.3973810059711997,0.9403258403908948,11.6076647207195,195.3700872141465,0.5666582119956471,315.2418743196193,2458097.4673558557,255.1877435084699,1.080902491016951,0
21.3,0.1460679643,793411200000,19.223165458,15266183.0,4,0.0140066,0.2494248827236086,1.183993437388868,35.2402424959676,149.1565598893367,0.8886760131226273,55.21650962102305,2457816.1554508256,141.0296511750646,0.7650329332047928,1
26.989,0.0106354281,793411200000,7.1641480595,31654442.0,7,0.0071428,0.3179061258474021,1.03436766129103,4.008314775490596,322.7144944711469,0.705535845388161,249.0178764867158,2457901.6235421547,92.63701924370052,0.9368966209206364,0
19.3,0.3669061375,794620800000,13.5763026447,52470692.0,0,0.00132059,0.1902842554038815,1.189560559495507,5.883903317829792,251.5911063365942,0.96320591417408,211.4467739786354,2457797.7514800234,154.0217068187274,0.7596687109559334,1
22.6,0.0802703167,794620800000,11.4702980441,7744736.5,0,0.0341962,0.4282526106821032,1.234937694057483,5.850410278034516,151.2892418885367,0.7060724025476296,292.6184516502227,2457751.688642938,178.6926558391438,0.7181852868344447,0
23.8,0.046190746,794620800000,11.9306425303,14592393.0,0,0.052677,0.3864587856542614,0.7629744336180587,20.83376792025673,352.9223651783215,0.4681162605167759,351.1788107856062,2455988.2188708745,203.652258647551,1.478900976327223,0
28.6,0.0050647146,794620800000,9.8741431619,21946004.0,6,0.00220111,0.2299595839786057,1.176188921427005,1.990548431564578,336.8735046974825,0.905713006375406,120.0623447551711,2457796.5160968,157.6102089911095,0.772660031104252,0
21.2,0.1529519353,794620800000,15.938707162,25865906.0,6,0.0667857,0.4373989530511649,1.442414905197316,24.56842188077443,151.7319137192872,0.8115041357986146,97.07781956847644,2458075.090407064,317.5623087461238,0.5689430172598158,0
22.8,0.0732073989,794620800000,11.7404134833,49843512.0,6,0.0452308,0.513906570440738,0.8653553647152513,6.812692898480357,64.12627502627186,0.4206435570219426,292.8831880645742,2457885.993670272,140.1980046848551,1.224369037218451,0
23.8,0.046190746,794620800000,11.9306119236,14592338.0,0,0.0515902,0.3864450668773289,0.7629535011587539,20.83340836762825,352.9209234711133,0.468113884379167,351.1779799498096,2456231.6333853165,203.0327732060237,1.478961839630405,0
23.6,0.0506471459,795225600000,3.8380167643,12937927.0,0,0.0231683,0.1755281002971447,1.085053919527081,1.499707987243189,143.9720934468935,0.8945964663125213,2.124647144481263,2458019.6760410117,343.2780837648182,0.8720213012330731,0
19.8,0.2914439045,795830400000,14.6506071817,73819112.0,0,0.00864628,0.6596701710312648,1.039069958449247,1.660280612530236,211.1661458545495,0.3536265012455829,111.2704877710451,2458022.991311085,339.0708464948791,0.9305439520983694,1
21.7,0.1214940408,795830400000,7.5148753568,74676320.0,0,0.072723,0.1806949354384842,1.298712853884236,2.883848267500705,42.7745945849694,1.064042018598494,283.6789058830172,2458116.9552514236,282.4479213473536,0.6659388709803942,0
20.1,0.2538370294,795830400000,14.3828211868,62975644.0,0,0.286119,0.6085291129034922,1.067729565398203,19.76609421451883,228.3483095782694,0.4179850401456034,179.9055930928364,2458175.9619568433,203.2544790124766,0.8933305190908865,0
19.9,0.2783267681,795830400000,16.5382492667,55719572.0,0,0.00632801,0.2001586683140727,1.225054256082759,23.76674096359197,157.1413506175398,0.9798490275727472,9.6180260171084,2458225.3960863966,196.5243824380092,0.7268940077209951,1
27.4,0.0088014652,795830400000,7.3391408326,10631156.0,7,0.00184403,0.2216354711934581,1.149622484484153,7.430785914533306,330.7831998198386,0.894825363440914,290.4836428426266,2457820.163435952,144.1965902347316,0.7995970811341543,0
23.9,0.04411182,795830400000,10.5995937061,58869008.0,5,0.110326,0.2254849824771856,1.408325755715618,8.113962312011777,158.2260557876106,1.090769447365912,28.41222819732559,2457721.451415724,164.561870327472,0.589724799193709,0
